net,length_um
net105,2067.575
net103,2055.36
net60,1946.82
_2190_,1939.74
net71,1881.44
net74,1819.12
net113,1799.96
net81,1744.86
net135,1717.84
net124,1716.64
net92,1692.82
net106,1681.14
net76,1680.48
net138,1662.3
net104,1655.16
net15,1605.5
net133,1591.2
net102,1575.52
net101,1570.52
net78,1562.62
net131,1554.6
net139,1549.1
net107,1504.98
net79,1495.3
net142,1492.98
net141,1491.8
net100,1482.83
net140,1474.12
net144,1456.935
net137,1441.64
net108,1433.6
net127,1430.62
net136,1424.62
net143,1419.9
net110,1406.94
net99,1390.42
net50,1390.3
net98,1387.32
net109,1385.34
net134,1382.8
net51,1360.68
net114,1358.17
net115,1353.88
net112,1351.38
net88,1350.14
net116,1342.92
net111,1340.08
net118,1317.48
net128,1311.53
net117,1311.22
net97,1292.04
net149,1290.96
net148,1289.12
net120,1285.4
net130,1282.395
net119,1280.44
net121,1280.18
net132,1259.06
net4,1240.48
net84,1240.04
net96,1234.78
net129,1229.21
net125,1225.66
net122,1224.715
net82,1191
net126,1182.06
net123,1181.72
net85,1178.3
_1648_,1176.895
clk,1174.21
net86,1172.8
net83,1165.535
_2554_,1160.16
_3294_,1159.175
_3463_,1155.435
_3113_,1151.3
net95,1148.86
_3149_,1144.53
net53,1144.28
_3366_,1135.285
net89,1134.34
_2570_,1120.93
net87,1112.92
_1123_,1100.355
_2612_,1097.72
_3427_,1095.6
_3499_,1091.9
net94,1075.36
_2591_,1072.92
_3222_,1068.92
_3438_,1068.04
_3510_,1063.2
_3536_,1054.485
_3186_,1052.53
_3449_,1045.63
net91,1044.02
_3521_,1040.54
_3258_,1037.07
_3802_,1026.99
_3763_,1025.72
_3547_,1014.52
net3,1013.4
_3572_,1002.5
net90,1002.34
net55,999.8
_3791_,999.64
_1258_,998.16
net93,995.62
_2640_,989.34
_3583_,986.075
_1299_,980.84
_2945_,980.555
_1878_,979.66
_1866_,979.31
_2753_,978.315
_3774_,976.3
_2873_,972.445
_2960_,971.23
_2909_,971.14
_3558_,963.15
_3680_,957.64
_2800_,957.41
_1136_,952.93
_2825_,952.19
_3738_,951.62
net48,944.4
_3086_,944.16
_1080_,940.38
_3233_,940.34
_3197_,939.66
_1670_,939.51
_3355_,938.76
clknet_0_clk,936.97
_3305_,936.795
_1671_,932.375
net1,927.04
_1661_,927.02
_3283_,925.23
_3402_,921.355
_1862_,921.165
_3102_,918.55
_3138_,918.16
_2923_,917.625
_3727_,915
_2887_,913.75
_3269_,906.92
_2682_,902.985
_1776_,901.46
_1612_,899.34
_2971_,898.66
net2,897.27
_1981_,892.645
_3175_,889.335
_3124_,888.37
_2836_,886.175
_1698_,884.94
_3377_,883.61
_1795_,882.68
net14,881.5
net73,879.66
_3666_,878.345
_3594_,875.74
_3064_,874.86
net56,873.24
_3413_,872.32
_2194_,870.6
_1852_,870.01
net40,869.78
_2704_,869.515
_3655_,868.18
_2742_,867.595
_2851_,862.81
net5,862.08
_1632_,858.855
_2764_,853.43
_1176_,853.15
_3003_,853.12
_2982_,852.6
_3474_,851.9
_3716_,851.895
_3485_,851.615
_3160_,850.73
_3319_,849.06
_2778_,845.29
_1187_,842.8
_1451_,842.75
_1803_,839.44
_2814_,835.075
_2789_,831.44
_3608_,829.54
net72,828.2
_2726_,826.185
_3391_,824.84
net57,823.6
_2661_,822.08
_1100_,819.175
_3075_,817.78
_3702_,811.14
net58,808.52
_3247_,805.24
_1459_,803.9
_3752_,799.68
_3341_,799.28
_3691_,795.96
_3045_,794.93
_3644_,792.095
net26,791.91
net147,787.62
net146,786.22
net145,785.98
_1455_,783.2
_1122_,779.145
_1036_,779.11
_1657_,778.65
_2898_,774.99
_1132_,774.8
_2934_,774.5
_3211_,771.845
_1025_,769.92
net59,768.42
_1319_,744.845
_1125_,739.645
_3630_,738.52
_2862_,738.46
_2215_,735.3
_1689_,735.17
_1133_,732.82
_1669_,732.4
net39,730.28
_1745_,728.84
net68,726.02
_1624_,722.77
_1623_,716.52
net69,715.66
_1805_,715.27
_2236_,710.12
_1748_,706.11
_2204_,702.14
net25,696.2
_2715_,695.69
_1752_,695.15
_1804_,693.68
_1753_,693.53
_1751_,691.28
_2237_,689.04
_1267_,682.4
_1126_,682.28
_2203_,680
_1056_,677.975
net67,677.54
_2191_,673.445
_2185_,672.06
_1649_,668.41
_1650_,667.1
_3619_,667
_2201_,665.38
_1082_,662.5
a2[0],662.49
_1083_,660.695
_3330_,657.47
net61,656.24
_3024_,656.175
_2271_,655.34
net64,653.68
_1127_,653.44
_1148_,652.89
_1147_,652.32
_1269_,650.57
_1032_,650.095
_1693_,646.02
_1166_,643.13
_2056_,642.02
