net,length_um
net2,1759.1
net1,1723.46
clknet_0_clk,971.64
clk,941.51
net3,732.2
_0327_,689.66
_0470_,661.25
_0494_,650.58
_0331_,623.7
_0249_,617.1
_0424_,577.94
_0252_,524.41
net4,524.28
_0241_,441.98
_0421_,438.96
_0558_,437.6
net9,425.82
_0442_,422.86
_0453_,405.055
_0419_,403.04
_0571_,394.54
_0323_,391.275
_0423_,378.875
_0793_,370.42
_0443_,369.84
_0795_,355.4
_0560_,352.32
_0493_,333.34
_0582_,332.2
_0277_,321.7
_0381_,317.42
_0271_,315.48
_0559_,300.06
_0216_,296.18
_0226_,289.98
_0469_,289.83
_0401_,286.61
_1266_,281.9
_0667_,281.86
_0797_,280.34
_0524_,274.16
_0325_,273.35
_0431_,272.8
_0240_,269.475
_0448_,266.64
_0409_,266.635
_0413_,265.3
clknet_4_13_0_clk,259.5
_0418_,253.95
clknet_4_8_0_clk,253.175
_0444_,248.96
_0441_,246.26
_0417_,245.8
_0447_,240.28
_0393_,238.9
_0247_,237.14
_1277_,235.7
_0449_,233.78
alu.Result\[5\],233.1
_1255_,231.92
_0445_,231.84
clknet_4_11_0_clk,231.08
_0450_,228.84
clknet_4_7_0_clk,226.3
_0278_,224.94
clknet_4_1_0_clk,224.42
_0411_,221.26
_0248_,219.52
_1254_,210.1
net31,208.06
clknet_4_2_0_clk,208.025
alu.Result\[6\],206.84
_0361_,203.9
_0246_,203.52
clknet_4_3_0_clk,202.95
clknet_4_0_0_clk,200.18
_0224_,197.215
clknet_4_6_0_clk,193.74
_0232_,189.92
_0497_,189.36
_0518_,185.22
_0297_,185.16
_0279_,184.74
clknet_4_9_0_clk,183.94
_0251_,183.56
_0927_,183.38
alu.Result\[2\],183.18
_0468_,180.68
clknet_4_14_0_clk,179.58
_0480_,177.96
_0809_,177.16
_0302_,175.22
_0904_,175.2
_0531_,174.96
_0638_,170.1
_0222_,169.2
_0720_,169.06
_0377_,166.78
clknet_4_4_0_clk,166.3
_0669_,165.725
net8,163.88
_0730_,163.77
_0500_,160.66
clknet_4_10_0_clk,160.3
